Name,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation types,Prior knowledge,Computational resources used,Sample size,Inputsize,Advantage,Disadvantage,Notes,old_interpretation_column,Why interpretable,Last edited time
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7737474/,Predicting Drug Response and Synergy Using a Deep Learning Model of Human Cancer Cells,Predict drug response for cancers,SNPs,Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",RLIPP,"connection-weights, prior knowledge",Gene-Onthology,Unspecified,>500 000 & <1 000 000,< 10000,can suggest combination therapies,no information about interactions or missing prior knowledge,,"Gene-Ontology, connection-weight, prior-knowledge",,"February 16, 2023 2:13 PM"
https://pubmed.ncbi.nlm.nih.gov/35011647/,Interpretable Autoencoders Trained on Single Cell Sequencing Data Can Transfer Directly to Data from Unseen Tissues,"Demonstrate transfer learning for AE ",sc-transcriptomics,Single-cell,"Genes, Pathways",AE,passive,"attribution, local",,"backpropagation, saliency maps",Gene-Onthology,Unspecified,">1000 & <5000, >500 & <1000",< 50000,shows autoencoder can mode a transcriptional representation over different tissue datasets,no in depth analysis on e.g. preserved genes per tissue,,"backpropagation, saliency maps",,"February 16, 2023 2:12 PM"
"https://www.frontiersin.org/articles/10.3389/fgene.2022.806842/full#:~:text=all%2011%20Articles-,MoGCN%3A%20A%20Multi%2DOmics%20Integration%20Method%20Based%20on%20Graph%20Convolutional,Network%20for%20Cancer%20Subtype%20Analysis&text=In%20light%20of%20the%20rapid,from%20a%20multi%2Domics%20perspective.",MoGCN: A Multi-Omics Integration Method Based on Graph Convolutional Network for Cancer Subtype Analysis,Cancer subtype classification,"CNV, miRNA, proteome",Bulk,"Genes, Pathways","AE, Graph Convolutional Network (GCN)",passive,"global, hidden semantics",,"Feature selection, connection-weights, permutation, perturbation",,Unspecified,>500 & <1000,< 100 000,nicely combines two framework (GCN and AE),"feature selection with AE makes use of old strategy (1991) - how would newer approaches perform? ","Interpretation through sensitivity analysis (Garson, 1991)","connection-weight, perturbation",,"February 16, 2023 2:12 PM"
https://www.nature.com/articles/nmeth.4627,Using deep learning to model the hierarchical structure and function of a cell,Predicting yeast cell growth from genotype,SNPs,Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",RLIPP,connection-weights,"Gene-Onthology, Gene-annotations",GPU (<13 GB),> 1 000 000,< 100 000,One of the more impactful VNN papers. Introduces RLIPP. compares to boolean logic and performance validated by experiments (in vivo),"was only used in yeast data, not human",,"Gene-Ontology, connection-weight, gene-annotations",,"February 8, 2023 10:43 AM"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9032252/,"LINA: A Linearizing Neural Network Architecture for Accurate
First-Order and Second-Order Interpretations",epistasis detection,SNPs,Bulk,SNPs,ANN,active,"attribution, global, hidden semantics, local",LINA,"attention, backpropagation",,"GPU (<13 GB), Unspecified",>50 000 & < 100 000,< 10000,Allows extraction of first and second order interactions,Needs an additional linearization layer in the network,,Attention,,"February 16, 2023 2:13 PM"
https://academic.oup.com/bioinformatics/article/38/9/2504/6546279,GraphGONet: a self-explaining neural network encapsulating the Gene Ontology graph for phenotype prediction on gene expression,Cancer prediction from gene expression with interpretable nn,mRNA (gene expression),Bulk,"Genes, Pathways","ANN, Graph Convolutional Network (GCN)",active,"attribution, global, hidden semantics, local",,"attention, connection-weights",,GPU (<13 GB),>10 000 & <50 000,< 100 000,allows patient and model interpretation,Only the top n GO terms are used for interpretation,,"Attention, connection-weight",,"February 16, 2023 2:13 PM"
https://academic.oup.com/bib/article/22/6/bbab315/6353242,XOmiVAE: an interpretable deep learning model for cancer classification using high-dimensional omics data,Cancer classification,mRNA (gene expression),Bulk,Genes,VAE,passive,"attribution, semi-local","DeepSHAP, SHAP","backpropagation, game theory",,Unspecified,>5000 & <10 000,< 100 000,simultaneously interpret input features and reduced dimension,needs reference values to calculate the SHAP values → tricky to select!; compared performance mostly to results generated with random genes,,"Deep SHAP, backpropagation",,"February 16, 2023 2:13 PM"
https://www.nature.com/articles/s41467-021-26017-0,VEGA is an interpretable generative model for inferring biological network activity in single-cell transcriptomics,Analysis of single-cell data,sc-transcriptomics,Single-cell,Genes,VAE (sparse),active,"attribution, global, hidden semantics",,prior knowledge,"Gene-annotations, Hallmark (MSigDB), MolSigDB, Reactome",Unspecified,">10 000 & <50 000, >1000 & <5000",< 10000,"user-defined modules; can directly add DEG on these custom modules; also compared other sparse combinations (e.g. sparse encoder, fully connected decoder)",linear decoder (limited generative capacity); depends on prior knowledge,,"gene-annotations, prior-knowledge",,"February 16, 2023 2:13 PM"
https://academic.oup.com/bioinformatics/article/34/17/i629/5093210,Discovering epistatic feature interactions from neural network models of regulatory DNA sequences,Detecting epistasis in sequences,SNPs,Bulk,SNPs,"Convolutional Neural Network (CNN), Dense neural network",passive,"attribution, local, semi-local","DFIM, DeepLIFT","perturbation, saliency maps",,Unspecified,unspecified,< 100 000,Can use multiple feature attribution methods.,"dependance on performance (but so are all). Can explain a part of the input sequence, but an overview of all input sequence pertubatations will be computationally expensive (but still cheaper than pairwise methods)",Propose pertubation framework in combination with Deeplift and such: Deep Feature Interaction Maps (DFIM),"DeepLIFT, perturbation, saliency maps",,"February 16, 2023 2:14 PM"
https://www.medrxiv.org/content/10.1101/2021.10.11.21264761v1,Explainable Transformer-Based Neural Network for the Prediction of Survival Outcomes in Non-Small Cell Lung Cancer (NSCLC),Novel survival prediction method for NSCLC,"SNPs, clinical",Bulk,Genes,Transformer,active,"attribution, local, semi-local",VIS,attention,,GPU (>13 GB),>1000 & <5000,< 1000,Utilise transfer-learning for weight initialisation (combat small sample sizes,computationally very expensive (max. 300 features),,Attention,,"February 16, 2023 2:37 PM"
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-021-04370-7,Deep GONet: self-explainable deep neural network based on Gene Ontology for phenotype prediction from gene expression data,Predict cancers from gene expression,mRNA (gene expression),Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics, semi-local",LRP (Layerwise Relevance Propagation),"other, prior knowledge",Gene-Onthology,GPU (<13 GB),>10 000 & <50 000,< 100 000,"can control trade-off between interpretability and performance, can possible improve GO by finding  relevant connections",computationally ineffcient (the weights are still stored of NOGO),,other,,"February 16, 2023 2:13 PM"
https://www.nature.com/articles/s42256-020-00244-4.pdf,An interpretable deep-learning architecture of capsule networks for identifying cell-type gene expression programs from single-cell RNA-sequencing data,cell labeling based on expression with capsule networks,sc-transcriptomics,Single-cell,Cell type,Capsule Network,passive,"attribution, global",,"connection-weights, prior knowledge","Gene-Onthology, Reactome",Unspecified,>10 000 & <50 000,< 50000,Interpretation for capsule networks,PCA on the weights for each capsule and then trying to find thresholds for the pricipal components seems a bit weak/ not really interpretable,,connection-weight,,"February 16, 2023 2:13 PM"
https://www.biorxiv.org/content/10.1101/2021.10.30.466610v1.full,Development of Biologically Interpretable Multimodal Deep Learning Model for Cancer Prognosis Prediction,Cancer prognosis prediction,"CpGs (methylation), mRNA (gene expression)",Bulk,"Genes, Pathways","ANN, VAE (sparse)",active,"attribution, local",,"attention, permutation",,Unspecified,>1000 & <5000,< 10000,took clinical covariates into account; used images + omics,did not fully integrate data (just aggregate unimodal embeddings); could not link omics to histology,,permutation,,"February 16, 2023 2:12 PM"
https://bmcmedgenomics.biomedcentral.com/articles/10.1186/s12920-020-0658-5,DeepTRIAGE: interpretable and individualised biomarker scores using attention mechanism for the classification of breast cancer sub-types,"Classification of
breast cancer sub-types",mRNA (gene expression),Bulk,"Genes, Pathways",ANN,active,"attribution, local",,attention,,Unspecified,>500 & <1000,< 10000,constructed own NN framework top enable application of attention to omics (high-dimensional); provide individualised biomarker estimate,"not compared to other, more conventional, interpretation methods",,Attention,,"February 16, 2023 2:12 PM"
https://www.nature.com/articles/s41598-021-81773-9.pdf,Verifying explainability of a deep learning tissue classifer trained on RNA‑seq data,"Show/verify interpretability with SHAP for a DL network applied to tissue classification. ",mRNA (gene expression),Bulk,"Cell type, Genes",Convolutional Neural Network (CNN),passive,"attribution, local",SHAP,"backpropagation, game theory",,GPU (>13 GB),>10 000 & <50 000,< 50000,found great overlap with traditional method for identifying differently expressed genes,Did not show real advantage over traditional method,,SHAP,,"February 16, 2023 2:13 PM"
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03717-w,An embedded gene selection method using knockoffs optimizing neural network,find key genes using neural network,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, global",,"connection-weights, other",,Unspecified,>500 & <1000,< 1000,Is able to select important genes,"Computationally expensive, adds a fake feature for each input feature, does not seem to have advantages over standard methods",,"connection-weight, other",,"February 16, 2023 2:12 PM"
https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010328,Explainable deep transfer learning model for disease risk prediction using high-dimensional genomic data,Predict genetic risk with neural entwork,SNPs,Bulk,Genes,VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, permutation",,"GPU (<13 GB), Unspecified",>500 & <1000,> 1 mil,"Can capture non-linear effects, computationally efficient","Trained per region, so limited in long range interaction. Where is the validation set?",Compares permuted labels loss with real loss per region network to evaluate the importance of a region,connection-weight,,"February 16, 2023 2:12 PM"
https://academic.oup.com/bioinformatics/article/38/Supplement_2/ii120/6702000,GNN-SubNet: disease subnetwork detection with explainable graph neural networks,GCN for disease subnetwork detection for cancers,"CpGs (methylation), mRNA (gene expression)",Bulk,Genes,Graph Convolutional Network (GCN),passive,"attribution, global",GNNexplainer,"other, prior knowledge",StringDB,Unspecified,>200 & <500,< 10000,Networks with PPI information improved robustness. PPI information resulted in less widespread signal from genes,Did not obtain better performance than baseline methods,,other,,"February 16, 2023 2:12 PM"
https://pubmed.ncbi.nlm.nih.gov/16987708/,Identification of critical genes in microarray experiments by a Neuro-Fuzzy approach,"Interpreting bacterium-host interactions ",mRNA (gene expression),Bulk,Genes,fuzzy network,passive,"global, rule",,"connection-weights, other, rule-extraction",,CPU,unspecified,< 1000,included bootstrapping to estimate robustness of derived feature importance,based on simple rules,,"connection-weight, rule-extraction",,"February 8, 2023 12:15 PM"
https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-021-00845-7,Explaining decisions of graph convolutional neural networks: patient-specific molecular subnetworks responsible for metastasis prediction in breast cancer,Personalised metastasis prediction in breast cancer,mRNA (gene expression),Bulk,"Pathways, Protein",Graph Convolutional Network (GCN),passive,"attribution, global, hidden semantics, semi-local",LRP (Layerwise Relevance Propagation),backpropagation,,Unspecified,>500 & <1000,< 10000,"extensive validation: included sanity check of interpretability approach using MNIST data, comparison to WGCNA",based on prior knowledge of input graph (PPI); computational very heavy,“Graph Layer-wise Relevance Propagation”,backpropagation,,"February 16, 2023 2:12 PM"
