Name,Year,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation strategy,Prior knowledge,Computational resources used,Sample size,Inputsize,handpicked,Advantage,Disadvantage,Notes
https://pubmed.ncbi.nlm.nih.gov/?term=Alessandri%20L%5BAuthor%5Dhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785742/,2021,Sparsely Connected Autoencoders: A Multi-Purpose Tool for Single Cell omics Analysis,make an interpretable embedding for AE,sc-transcriptomics,Single-cell,Genes,AE,active,"global, hidden semantics",,"prior knowledge, visualisation, visualize embedding","RegPhos, TRRUST, miRTarBase","GPU (<13 GB), Unspecified",">1000 & <5000, >500 & <1000",< 10000,No,"customisable, provide metric measuring clustering accuracy","only 1 layer AE, use only experimentally validated prior knowledge → this is not a lot",
https://www.biorxiv.org/content/10.1101/2021.09.15.460498v2,2022,Interpretable deep generative models for genomics,make an interpretable embedding for VAE,sc-transcriptomics,Single-cell,"Cells, Genes",VAE,active,semi-local,,"visualisation, visualize embedding",,GPU (<13 GB),"> 1 000 000, >100 000 & < 200 000",< 100 000,Yes,shows good performance; universal; enables direct gene regulatory network analysis,complicated to understand,"interpretation similar to probabilistic PCA; adds also an “interpretability
regularization term”"
https://www.sciencedirect.com/science/article/pii/S2667237521001235,2021,A mixture-of-experts deep generative model for integrated analysis of single-cell multiomics data,build framework for single-cell multiomics,"sc-ATAC, sc-transcriptomics",Single-cell,"Cells, Genes",VAE,passive,"attribution, local",,perturbation,,Unspecified,>100 000 & < 200 000,< 1000,No,interpreting latent dimensions by perturbing and correlating result with input features → high correlation = embedded there,amount of available data is for rare cell populations limited,
https://www.sciencedirect.com/science/article/pii/S1525157821002154,2021,Identification of Tissue of Origin and Guided Therapeutic Applications in Cancers of Unknown Primary Using Deep Learning and RNA Sequencing (TransCUPtomics),"predict (unkown) tissue of origin of cancers ",mRNA (gene expression),Bulk,Genes,VAE,passive,"attribution, global",,"connection-weights, other",,"CPU, GPU (<13 GB), Unspecified",>10 000 & <50 000,< 10000,No,easy to implement and understand,only 1 layer deep → effectively only linear,
https://www.biorxiv.org/content/10.1101/2021.12.21.473742v1,2021,Explainable autoencoder-based representation learning for gene expression data,build an explainable AE,mRNA (gene expression),Bulk,Genes,AE,passive,"attribution, local",SHAP,game theory,,GPU (>13 GB),>1000 & <5000,< 100 000,No,easy to implement; identifies genes besides DEG,"SHAP uses a linear model to approximate, not unsupervised (needs an endpoint to predict)",
https://link.springer.com/article/10.1007/s00521-003-0388-6,2002,"A neuro-fuzzy approach for functional genomics data interpretation
and analysis",Fuzzy networks for predicting functional classes for gene of E.coli,mRNA (gene expression),Bulk,Genes,fuzzy network,passive,"global, rule",,other,,"CPU, GPU (<13 GB), Unspecified",unspecified,< 10000,No,combines implicit and explicit knowledge,rule set offers partial explanation and is harder to interpret if more factors contribute.,"eligible to exclude, did not use human data"
https://www.science.org/doi/10.1126/science.aat8464,2018,Comprehensive functional genomic resource and integrative model for the human brain,integrative models for the functional genomics of the human brain,"SNPs, mRNA (gene expression)",Single-cell,"Cell type, Gene sets, Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge","ENCODE, Own data",Unspecified,">50 & <100, >500 & <1000",unspecified,Yes,incorperated the found gene regulatory network in a visible neural network (deep boltzman machine) to improve prediction.,Complex model with multiple inputs and a lot of additional analyses to obtain the prior knowledge required to build the deep learning model.,"
imputed genotypes; intermediate phenotype data including gene expression, enhancer H3K27ac
activation levels, cell fraction estimates, and co-expression module mean expression"
https://pubmed.ncbi.nlm.nih.gov/35936793/,2022,MetastaSite: Predicting metastasis to different sites using deep learning with gene expression data,predicts whether patients’ samples are primary (localized) or metastasized to different regions,mRNA (gene expression),Bulk,Genes,AE,passive,"attribution, global, hidden semantics",DeepLIFT,gradient-based,Own data,GPU (<13 GB),>500 & <1000,< 10000,No,layer-wise interpretation of biological processes,unclear why AE was used here → fancy feature selection? Simply identified highly correlated genes?,
https://www.pnas.org/doi/epdf/10.1073/pnas.2114021119,2022,Interpretable modeling of genotype–phenotype landscapes withstate-of-the-art predictive power,model genotype phenotype landscape (epistatic effects) in a fully interpretable model,SNPs,Bulk,SNPs,"Gaussian-Proces, PCA-like",passive,"global, hidden semantics, rule",,"rule-extraction, visualisation",,GPU (>13 GB),">100 000 & < 200 000, >50 000 & < 100 000",< 10000,No,low dimensional space similar to PCA. Effects of mutations can be represented by vectors in this space. Uncertainty measures from gaussian proces.,"There are still multiple dimensions. Currently, two main components are visualized but if the latent space is larger information will be lost. The method provides global insight and uncertainty but is not fully interpretable.",First they model the genotype space as a an additive low-dimensional space and then they use Gaussian processes to model nonlinear (epistatic) effects on protein stability
https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs00390,2008,Deriving meaningful rules from gene expression data for classification,deriving rules from gene expression datato destinguish between cancer types,mRNA (gene expression),Bulk,Genes,ANN,passive,"active, attribution, global, rule",,"Feature selection, other",,GPU (<13 GB),>50 & <100,< 1000,No,fuzzy rules might improve generalization,Rules are derived from clusters so only a few rules per class are derived,Online feature selection during training of a small neural network followed by fuzzy clustering
https://academic.oup.com/bioinformatics/article/37/Supplement_1/i443/6319702,2021,PathCNN: interpretable convolutional neural networks for survival prediction and pathway analysis applied to glioblastoma,Predicting long term survival for cancer using interpretable neural networks for multi-omics data,"CNV, CpGs (methylation), mRNA (gene expression)",Bulk,"Genes, Pathways",VNN (CNN),passive,"attribution, local",GradCAM,prior knowledge,KEGG,GPU (<13 GB),>200 & <500,< 100 000,No,Combines multi-omics data in a CNN architecture resulting in a strong computational model that is interpretable,"Input (pathway image) is a PCA of the inputs of the associated genes of the pathways,",
https://onlinelibrary.wiley.com/doi/10.1002/gepi.20307,2008,"Comparison of Approaches for Machine-Learning Optimization
of Neural Networks for Detecting Gene-Gene Interactions
in Genetic Epidemiology","Grammatical evolution to optimize neural networks  ",SNPs,Bulk,"Genes, SNPs","ANN, VNN (dense)",active,"global, rule",,"other, rule-extraction",,"CPU, CPU (hpc)",>500 & <1000,< 1 mil,No,Evolutionary driven neural network architectures,"Computationally intensive, interpretetation method not specified.","not really focussed on interpretation, resutls in visible neural networks?"
https://arxiv.org/abs/2207.09783,2022,Cancer Subtyping by Improved Transcriptomic Features Using Vector Quantized Variational Autoencoder,Cancer Subtyping,"mRNA (gene expression), miRNA",Bulk,Genes,AE (vector quantized),passive,"global, hidden semantics",,"visualisation, visualize embedding",,Unspecified,unspecified,unspecified,No,show very high clustering improvement,no feature-level interpretation; novel clusters identified need yet to be validated,"cant find sample size and inputsize "
https://academic.oup.com/bioinformatics/article/36/12/3818/5811233,2022,Cancer subtype classification and modeling by pathway attention and propagation,Cancer subtype classification,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Convolutional Network (GCN),"active, passive","attribution, local",,"attention, other, prior knowledge",KEGG,Unspecified,">100 & < 200, >200 & <500",< 10000,No,"Includes prior knowledge in a GCNs, combines these in an ensemble with attention for a strong interpretable model. Network propagation adds extra explenations","difficult to know what
part of the pathway was useful for characterizing the cancers",empty git
https://academic.oup.com/g3journal/article/12/3/jkac020/6515290,2022,A deep learning framework for characterization of genotype data,Visualize population structure,SNPs,Bulk,SNPs,AE (convolutional),active,hidden semantics,,"visualisation, visualize embedding",,"CPU (hpc), multi-gpu",>1000 & <5000,< 500 000,No,convolution seems to improve LD accuracy,"high computational cost, limited embedding with two latent variables",
https://ieeexplore.ieee.org/document/9119109,2020,SAERMA: Stacked Autoencoder Rule Mining Algorithm for the Interpretation of Epistatic Interactions in GWAS for Extreme Obesity,Identify epistasis for obesity,SNPs,Bulk,"Genes, SNPs",AE (stacked),passive,"global, rule",,rule-extraction,,Unspecified,>1000 & <5000,< 10000,No,uncovers knowns + unknown interactions; fully transparent,very stringent preprocessing limits novelty; limited performance with a reasonable number of rules,
https://academic.oup.com/nargab/article/3/4/lqab097/6412605,2021,"ParsVNN: parsimony visible neural networks for uncovering cancer-specific and drug-sensitive genes
and pathways",Predict drug response for cancers,SNPs,Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics","Boolean logic, RLIPP","connection-weights, prior knowledge",Gene-Onthology,"GPU (<13 GB), Unspecified",>10 000 & <50 000,< 10000,No,Improves performance and interpretabiluty of DrugCell by pruning the network,no information about interactions or missing prior knowledge,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7737474/,2020,Predicting Drug Response and Synergy Using a Deep Learning Model of Human Cancer Cells,Predict drug response for cancers,SNPs,Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",RLIPP,"connection-weights, prior knowledge",Gene-Onthology,Unspecified,>500 000 & <1 000 000,< 10000,No,can suggest combination therapies,no information about interactions or missing prior knowledge,
https://pubmed.ncbi.nlm.nih.gov/35011647/,2021,Interpretable Autoencoders Trained on Single Cell Sequencing Data Can Transfer Directly to Data from Unseen Tissues,"Demonstrate transfer learning for AE ",sc-transcriptomics,Single-cell,"Genes, Pathways",AE,passive,"attribution, local",,"gradient-based, saliency maps",Gene-Onthology,Unspecified,">1000 & <5000, >500 & <1000",< 50000,No,shows autoencoder can mode a transcriptional representation over different tissue datasets,no in depth analysis on e.g. preserved genes per tissue,
"https://www.frontiersin.org/articles/10.3389/fgene.2022.806842/full#:~:text=all%2011%20Articles-,MoGCN%3A%20A%20Multi%2DOmics%20Integration%20Method%20Based%20on%20Graph%20Convolutional,Network%20for%20Cancer%20Subtype%20Analysis&text=In%20light%20of%20the%20rapid,from%20a%20multi%2Domics%20perspective.",2022,MoGCN: A Multi-Omics Integration Method Based on Graph Convolutional Network for Cancer Subtype Analysis,Cancer subtype classification,"CNV, mRNA (gene expression), proteome",Bulk,"Genes, Pathways","AE, Graph Convolutional Network (GCN)",passive,"attribution, global, hidden semantics",,"Feature selection, connection-weights, permutation, perturbation",,Unspecified,>500 & <1000,< 100 000,No,nicely combines two framework (GCN and AE),"feature selection with AE makes use of old strategy (1991) - how would newer approaches perform? ","Interpretation through sensitivity analysis (Garson, 1991)"
https://www.nature.com/articles/nmeth.4627,2018,Using deep learning to model the hierarchical structure and function of a cell,Predicting yeast cell growth from genotype,SNPs,Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",RLIPP,connection-weights,"Gene-Onthology, Gene-annotations",GPU (<13 GB),> 1 000 000,< 100 000,Yes,One of the more impactful VNN papers. Introduces RLIPP. compares to boolean logic and performance validated by experiments (in vivo),"was only used in yeast data, not human",
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9032252/,2022,"LINA: A Linearizing Neural Network Architecture for Accurate
First-Order and Second-Order Interpretations",epistasis detection,SNPs,Bulk,SNPs,ANN,passive,"attribution, global, hidden semantics, local",LINA,"attention, gradient-based",,"GPU (<13 GB), Unspecified",>50 000 & < 100 000,< 10000,Yes,Allows extraction of first and second order interactions,Needs an additional linearization layer in the network,
https://academic.oup.com/bioinformatics/article/38/9/2504/6546279,2022,GraphGONet: a self-explaining neural network encapsulating the Gene Ontology graph for phenotype prediction on gene expression,Cancer prediction from gene expression with interpretable nn,mRNA (gene expression),Bulk,"Genes, Pathways",VNN (dense),"active, passive","attribution, global, hidden semantics, semi-local",LRP (Layerwise Relevance Propagation),"connection-weights, prior knowledge, rule-based propagation",Gene-Onthology,GPU (<13 GB),>10 000 & <50 000,< 100 000,No,"can control trade-off between interpretability and performance, can possible improve GO by finding  relevant connections","Only the top n GO terms are used for interpretation, computationally ineffcient (the weights are still stored of NOGO)",
https://academic.oup.com/bib/article/22/6/bbab315/6353242,2021,XOmiVAE: an interpretable deep learning model for cancer classification using high-dimensional omics data,Cancer classification,mRNA (gene expression),Bulk,Genes,VAE,passive,"attribution, semi-local","DeepSHAP, SHAP","game theory, gradient-based",,Unspecified,>5000 & <10 000,< 100 000,No,simultaneously interpret input features and reduced dimension,needs reference values to calculate the SHAP values → tricky to select!; compared performance mostly to results generated with random genes,
https://www.nature.com/articles/s41467-021-26017-0,2021,VEGA is an interpretable generative model for inferring biological network activity in single-cell transcriptomics,VEGA: building an interpretable AE for single cell data,sc-transcriptomics,Single-cell,Genes,VAE (sparse),active,"global, hidden semantics",,"other, prior knowledge","Gene-annotations, Hallmark (MSigDB), MolSigDB, Reactome",Unspecified,">10 000 & <50 000, >1000 & <5000",< 10000,Yes,"user-defined modules; can directly add DEG on these custom modules; latent variables are directly interpretable as the activity of biological modules; also compared other sparse combinations (e.g. sparse encoder, fully connected decoder)",linear decoder (limited generative capacity); “sacrifices predictive performance for biological interpretability”; depends on prior knowledge,
https://academic.oup.com/bioinformatics/article/34/17/i629/5093210,2018,Discovering epistatic feature interactions from neural network models of regulatory DNA sequences,Detecting epistasis in sequences,SNPs,Bulk,SNPs,"Convolutional Neural Network (CNN), Dense neural network",passive,"attribution, local, semi-local","DFIM, DeepLIFT","perturbation, saliency maps",,Unspecified,unspecified,< 100 000,Yes,Can use multiple feature attribution methods.,"dependance on performance (but so are all). Can explain a part of the input sequence, but an overview of all input sequence pertubatations will be computationally expensive (but still cheaper than pairwise methods)",Propose pertubation framework in combination with Deeplift and such: Deep Feature Interaction Maps (DFIM)
https://www.medrxiv.org/content/10.1101/2021.10.11.21264761v1,2021,Explainable Transformer-Based Neural Network for the Prediction of Survival Outcomes in Non-Small Cell Lung Cancer (NSCLC),Novel survival prediction method for NSCLC,"SNPs, clinical",Bulk,Genes,Transformer,passive,"attribution, local, semi-local",Variable Interaction Score (VIS),attention,,GPU (>13 GB),>1000 & <5000,< 1000,No,Utilise transfer-learning for weight initialisation (combat small sample sizes,computationally very expensive (max. 300 features),
https://www.nature.com/articles/s42256-020-00244-4.pdf,2020,An interpretable deep-learning architecture of capsule networks for identifying cell-type gene expression programs from single-cell RNA-sequencing data,cell labeling based on expression with capsule networks,sc-transcriptomics,Single-cell,Cell type,Capsule Network,passive,"attribution, global",,"connection-weights, prior knowledge","Gene-Onthology, Reactome",Unspecified,>10 000 & <50 000,< 50000,No,Interpretation for capsule networks,PCA on the weights for each capsule and then trying to find thresholds for the pricipal components seems a bit weak/ not really interpretable,
https://www.biorxiv.org/content/10.1101/2021.10.30.466610v1.full,2021,Development of Biologically Interpretable Multimodal Deep Learning Model for Cancer Prognosis Prediction,Cancer prognosis prediction,"CpGs (methylation), mRNA (gene expression)",Bulk,"Genes, Pathways","ANN, VAE (sparse)","active, passive","attribution, local",,"attention, permutation",Hallmark (MSigDB),Unspecified,>1000 & <5000,< 10000,No,took clinical covariates into account; used images + omics,did not fully integrate data (just aggregate unimodal embeddings); could not link omics to histology,
https://bmcmedgenomics.biomedcentral.com/articles/10.1186/s12920-020-0658-5,2020,DeepTRIAGE: interpretable and individualised biomarker scores using attention mechanism for the classification of breast cancer sub-types,"Classification of
breast cancer sub-types",mRNA (gene expression),Bulk,"Genes, Pathways",ANN,"active, passive","attribution, local",,attention,"Gene-Onthology, KEGG",Unspecified,>500 & <1000,< 10000,No,constructed own NN framework top enable application of attention to omics (high-dimensional); provide individualised biomarker estimate,"not compared to other, more conventional, interpretation methods",
https://www.nature.com/articles/s41598-021-81773-9.pdf,2021,Verifying explainability of a deep learning tissue classifer trained on RNA‑seq data,"Show/verify interpretability with SHAP for a DL network applied to tissue classification. ",mRNA (gene expression),Bulk,"Cell type, Genes",Convolutional Neural Network (CNN),passive,"attribution, local",SHAP,"game theory, gradient-based",,GPU (>13 GB),>10 000 & <50 000,< 50000,No,found great overlap with traditional method for identifying differently expressed genes,Did not show real advantage over traditional method,
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03717-w,2020,An embedded gene selection method using knockoffs optimizing neural network,find key genes using neural network,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, global",,"connection-weights, other",,Unspecified,>500 & <1000,< 1000,No,Is able to select important genes,"Computationally expensive, adds a fake feature for each input feature, does not seem to have advantages over standard methods",
https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010328,2022,Explainable deep transfer learning model for disease risk prediction using high-dimensional genomic data,Predict genetic risk with neural entwork,"SNPs, WES",Bulk,Genes,VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, permutation",,"GPU (<13 GB), Unspecified",>500 & <1000,> 1 mil,No,"Can capture non-linear effects, computationally efficient","Trained per region, so limited in long range interaction. Where is the validation set?",Compares permuted labels loss with real loss per region network to evaluate the importance of a region
https://academic.oup.com/bioinformatics/article/38/Supplement_2/ii120/6702000,2022,GNN-SubNet: disease subnetwork detection with explainable graph neural networks,GCN for disease subnetwork detection for cancers,"CpGs (methylation), mRNA (gene expression)",Bulk,Genes,Graph Convolutional Network (GCN),passive,"attribution, global",GNNexplainer,"other, prior knowledge",StringDB,Unspecified,>200 & <500,< 10000,No,Networks with PPI information improved robustness. PPI information resulted in less widespread signal from genes,Did not obtain better performance than baseline methods,
https://pubmed.ncbi.nlm.nih.gov/16987708/,2006,Identification of critical genes in microarray experiments by a Neuro-Fuzzy approach,"Interpreting bacterium-host interactions ",mRNA (gene expression),Bulk,Genes,fuzzy network,passive,"global, rule",,"connection-weights, other, rule-extraction",,CPU,unspecified,< 1000,No,included bootstrapping to estimate robustness of derived feature importance,based on simple rules,
https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-021-00845-7,2021,Explaining decisions of graph convolutional neural networks: patient-specific molecular subnetworks responsible for metastasis prediction in breast cancer,Personalised metastasis prediction in breast cancer,mRNA (gene expression),Bulk,"Pathways, Protein",Graph Convolutional Network (GCN),passive,"attribution, global, hidden semantics, semi-local",LRP (Layerwise Relevance Propagation),rule-based propagation,,Unspecified,>500 & <1000,< 10000,No,"extensive validation: included sanity check of interpretability approach using MNIST data, comparison to WGCNA",based on prior knowledge of input graph (PPI); computational very heavy,“Graph Layer-wise Relevance Propagation”
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03850-6#availability-of-data-and-materials,2021,Investigating the relevance of major signaling pathways in cancer survival using a biologically meaningful deep learning model,Patient survival prediction with investigation of major signaling pathways,"CNV, mRNA (gene expression)",Bulk,Pathways,Convolutional Neural Network (CNN),passive,"attribution, local",Other,"perturbation, prior knowledge",KEGG,Unspecified,">1000 & <5000, >200 & <500, >500 & <1000",< 10000,No,Density distribution of relevance scores → estimate robustness better!,limited to prior knowledge and selection of pathways under study,Implementation: iNNvestigate package
https://www.liebertpub.com/doi/10.1089/cmb.2019.0320,2020,Explainable Deep Learning for Augmentation of Small RNA Expression Profiles,Prediction of missing metadata,ncRNA,Bulk,Tissue type,ANN,passive,"attribution, semi-local",DeepLIFT,gradient-based,,Unspecified,>1000 & <5000,< 10000,No,"analysis on different levels - sample, class; added stability estimates through permutation",heavily limited by class imbalances (e.g. of rare tissues),
https://biodatamining.biomedcentral.com/articles/10.1186/s13040-021-00285-4,2022,Integrating pathway knowledge with deep neural networks to reduce the dimensionality in single-cell RNA-seq data,Predict cell-types in scData,sc-transcriptomics,Single-cell,Pathways,ANN,active,"attribution, global, hidden semantics",,"prior knowledge, visualisation",KEGG,Unspecified,">1000 & <5000, >50 & <100, >500 & <1000",< 10000,No,directly merge visualisation and prediction in one framework,not possible to interrogate which pathways are important for prediction,
https://link.springer.com/article/10.1007/s12031-020-01514-x,2020,Application of Artificial Neural Network for Prediction of Risk of Multiple Sclerosis Based on Single Nucleotide Polymorphism Genotypes,Application to multiple sclerosis,SNPs,Bulk,Genes,ANN,passive,"attribution, local",LIME,,,"CPU, Unspecified",>500 & <1000,< 1000,No,-,study limited by the little number of features used,
https://bmcmedgenomics.biomedcentral.com/articles/10.1186/s12920-019-0624-2,2019,Interpretable deep neural network for cancer survival analysis by integrating genomic and clinical data,Cancer survival analysis,"clinical, mRNA (gene expression)",Bulk,"Genes, Pathways",ANN,active,"attribution, global, hidden semantics",,prior knowledge,"KEGG, Reactome",Unspecified,>500 & <1000,< 10000,No,nice to see directly Kaplan-Meier plots for individual pathways,prior knowledge,
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269570,2022,Pathway importance by graph convolutional network and Shapley additive explanations in gene expression phenotype of diffuse large B-cell lymphoma,Estimate pathways-based diffuse large B-cell lymphoma subtypes,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Convolutional Network (GCN),passive,"attribution, local",SHAP,"game theory, prior knowledge",KEGG,GPU (>13 GB),>200 & <500,< 10000,No,thoroughly compared to GSEA,"prior knowledge, worse prediction than logistic regression model, SHAP doesn’t provide confidence intervals / robustness estimtates",
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1984-2,2017,A biological network-based regularized artificial neural network model for robust phenotype prediction from gene expression data,phenotype prediction from gene expression data,mRNA (gene expression),Bulk,"Gene sets, Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",StringDB,"GPU (<13 GB), Unspecified","<50, >100 & < 200",< 50000,No,Directly interpretable. Investigated carefully effects of regularization.,Not much attention on interpretation. The authors selected the top connections with heighest weight in a CV but did they normalize after each layer?,Interpretability through bootstrapping
https://academic.oup.com/bioinformatics/article/37/12/1772/5919581,2021,Varmole: a biologically drop-connect deep neural network model for prioritizing disease risk variants and genes,"Interpretable model for phenotype prediction, applied to among others schizophrenia","SNPs, mRNA (gene expression)",Bulk,Genes,"ANN, VNN (dense)","active, passive","attribution, semi-local",Integrated gradients,gradient-based,,"CPU, Unspecified",>1000 & <5000,< 500 000,Yes,Dropconnect and L1 penalty to add sparsity. Gene regulatory networks and eQTL as prior knowledge in the first layer,"Integrated gradients, hidden layers after using prior knowledge makes interpretation harder.",
https://arxiv.org/abs/1906.00537,2019,Incorporating Biological Knowledge with Factor Graph Neural Network for Interpretable Deep Learning,Build a transparent Factor Graph Neural Network,mRNA (gene expression),Bulk,annotations,Factor Graph Neural Network,"active, passive","attribution, global",,"attention, prior knowledge",Gene-Onthology,Unspecified,>200 & <500,< 10000,No,attention mechanism to assign weights to connections between different layers → not as limited to prior knowledge?,very low prediction performances; no biological interpretation of recovered pathways,FGNN “generalizes the Graph Convolutional Network”
